Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,Month,Unique Category,,Unique Month,Post Appeared,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,photo,studying,neutral,35,Nov,,,,,peeking,54565,1559,115
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11-04-2021 20:47,photo,studying,negative,12,Apr,,,,,cherish,105070,1501,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13-06-2021 16:46,photo,studying,positive,50,Jun,Total Categories,17,,,hate,7760,1552,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11-04-2021 14:29,photo,studying,positive,60,Apr,Most Post,May,,,love,99710,1534,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02-03-2021 19:21,photo,studying,negative,12,Mar,,,,,indifferent,30240,1512,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-06-2020 18:44,photo,studying,negative,5,Jun,,,,,super love,113925,1519,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09-05-2021 21:05,photo,studying,negative,5,May,,,,,intrigued,66375,1475,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04-08-2020 23:58,photo,studying,positive,70,Aug,,,,,worried,17964,1497,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28-08-2020 03:57,photo,studying,positive,75,Aug,,,,,like,76000,1520,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25-08-2020 08:21,photo,studying,positive,45,Aug,,,,,heart,97320,1622,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20-04-2021 23:48,photo,studying,negative,15,Apr,,,,,want,107730,1539,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07-03-2021 12:40,photo,studying,positive,30,Mar,,,,,adore,111456,1548,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-05-2021 03:21,photo,studying,neutral,20,May,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-01-2021 11:03,photo,studying,positive,75,Jan,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09-04-2021 02:46,photo,studying,negative,0,Apr,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02-02-2021 03:43,photo,studying,positive,75,Feb,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04-02-2021 03:06,photo,studying,positive,30,Feb,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09-11-2020 02:49,photo,studying,negative,10,Nov,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29-09-2020 16:00,photo,studying,negative,15,Sep,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29-11-2020 21:33,photo,studying,negative,10,Nov,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13-02-2021 07:54,photo,studying,positive,70,Feb,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14-07-2020 05:28,photo,studying,positive,30,Jul,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,23-08-2020 10:30,photo,studying,neutral,20,Aug,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,10-05-2021 09:27,photo,studying,negative,12,May,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,15-03-2021 03:59,photo,studying,negative,5,Mar,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25-06-2020 17:01,photo,healthy eating,negative,10,Jun,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13-09-2020 00:11,photo,healthy eating,positive,45,Sep,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 18:17,photo,healthy eating,neutral,35,Aug,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11-02-2021 04:53,photo,healthy eating,negative,15,Feb,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08-03-2021 10:40,photo,healthy eating,negative,5,Mar,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28-03-2021 21:15,photo,healthy eating,negative,0,Mar,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25-05-2021 01:00,photo,healthy eating,negative,5,May,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15-03-2021 12:17,photo,healthy eating,positive,50,Mar,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05-05-2021 16:26,photo,healthy eating,positive,65,May,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,31-08-2020 00:21,photo,healthy eating,positive,65,Aug,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16-06-2021 03:02,photo,healthy eating,positive,60,Jun,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07-07-2020 10:52,photo,healthy eating,neutral,20,Jul,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 07:59,photo,healthy eating,neutral,35,Aug,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23-09-2020 11:15,photo,healthy eating,positive,65,Sep,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24-03-2021 05:56,photo,healthy eating,positive,50,Mar,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07-12-2020 19:13,photo,healthy eating,negative,5,Dec,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03-08-2020 16:41,photo,healthy eating,positive,75,Aug,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10-01-2021 15:36,photo,healthy eating,positive,72,Jan,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,20-09-2020 08:48,photo,healthy eating,negative,15,Sep,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20-07-2020 14:06,photo,healthy eating,positive,70,Jul,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24-10-2020 12:15,photo,healthy eating,positive,72,Oct,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,06-06-2021 01:27,photo,healthy eating,positive,30,Jun,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25-12-2020 00:09,photo,healthy eating,positive,60,Dec,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,14-06-2021 07:56,photo,healthy eating,positive,50,Jun,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,05-06-2021 18:00,photo,healthy eating,positive,50,Jun,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,18-11-2020 23:37,photo,healthy eating,negative,5,Nov,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-05-2021 02:42,photo,healthy eating,positive,30,May,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11-05-2021 08:38,photo,healthy eating,negative,10,May,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,12-11-2020 08:00,photo,healthy eating,neutral,35,Nov,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,21-06-2020 16:57,photo,healthy eating,positive,60,Jun,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,04-03-2021 23:58,photo,healthy eating,positive,75,Mar,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,09-07-2020 16:47,photo,healthy eating,positive,70,Jul,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,01-08-2020 19:16,photo,healthy eating,negative,5,Aug,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-11-2020 22:46,photo,healthy eating,negative,10,Nov,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,11-12-2020 14:08,photo,healthy eating,negative,15,Dec,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-04-2021 23:41,photo,healthy eating,negative,10,Apr,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,13-11-2020 00:33,photo,healthy eating,positive,70,Nov,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-06-2021 10:13,photo,healthy eating,positive,30,Jun,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,love,29-10-2020 19:41,photo,healthy eating,positive,65,Oct,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,14-05-2021 12:47,photo,healthy eating,positive,60,May,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,04-08-2020 05:40,photo,healthy eating,negative,0,Aug,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,07-08-2020 04:09,photo,healthy eating,positive,72,Aug,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,23-10-2020 21:19,photo,healthy eating,positive,72,Oct,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,14-11-2020 23:53,photo,healthy eating,positive,72,Nov,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,04-08-2020 19:26,photo,healthy eating,negative,12,Aug,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,12-11-2020 04:54,photo,healthy eating,positive,30,Nov,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,worried,03-04-2021 12:17,photo,technology,negative,12,Apr,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,want,27-09-2020 22:15,photo,technology,positive,70,Sep,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,heart,27-10-2020 05:45,photo,technology,positive,60,Oct,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,scared,15-10-2020 09:11,photo,technology,negative,15,Oct,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,heart,07-05-2021 09:16,photo,technology,positive,60,May,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,hate,16-09-2020 08:39,photo,technology,negative,5,Sep,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,29-10-2020 15:38,photo,technology,neutral,20,Oct,,,,,,,,
01ab84dd-6364-4236-abbb-3f237db77180,scared,24-05-2021 18:03,video,food,negative,15,May,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,25-02-2021 20:02,GIF,cooking,positive,30,Feb,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,02-05-2021 03:45,GIF,cooking,negative,5,May,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,28-01-2021 08:49,GIF,cooking,positive,70,Jan,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,15-02-2021 13:06,GIF,cooking,neutral,35,Feb,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,04-11-2020 21:25,GIF,cooking,negative,10,Nov,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,23-06-2020 22:12,GIF,cooking,positive,65,Jun,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,16-02-2021 04:01,GIF,cooking,positive,70,Feb,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,03-01-2021 08:44,GIF,cooking,positive,30,Jan,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,25-11-2020 12:45,GIF,cooking,positive,72,Nov,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,03-12-2020 16:47,GIF,cooking,positive,50,Dec,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,22-05-2021 21:03,GIF,cooking,positive,50,May,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,18-01-2021 13:39,GIF,cooking,positive,70,Jan,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,06-01-2021 00:35,GIF,cooking,neutral,20,Jan,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,14-05-2021 14:33,GIF,cooking,positive,72,May,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,27-05-2021 15:21,GIF,cooking,negative,12,May,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,21-07-2020 02:12,GIF,cooking,neutral,35,Jul,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,26-05-2021 06:09,GIF,cooking,negative,10,May,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,25-02-2021 03:16,GIF,cooking,negative,10,Feb,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,07-12-2020 22:50,GIF,cooking,positive,45,Dec,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,24-10-2020 14:06,GIF,cooking,neutral,20,Oct,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,01-09-2020 21:18,GIF,cooking,neutral,35,Sep,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,10-05-2021 22:07,GIF,cooking,positive,72,May,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,12-02-2021 16:37,video,dogs,positive,70,Feb,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,28-04-2021 15:22,video,dogs,positive,60,Apr,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,24-01-2021 00:38,video,dogs,positive,45,Jan,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,18-03-2021 01:53,video,dogs,negative,12,Mar,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,14-01-2021 07:21,video,dogs,negative,0,Jan,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,23-12-2020 04:11,video,dogs,positive,60,Dec,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,21-05-2021 07:23,video,dogs,negative,5,May,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,like,28-03-2021 23:25,video,dogs,positive,50,Mar,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,16-09-2020 07:33,video,dogs,neutral,35,Sep,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,08-11-2020 10:53,video,dogs,neutral,20,Nov,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,06-03-2021 05:23,video,dogs,positive,60,Mar,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,13-01-2021 23:35,video,dogs,negative,0,Jan,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,06-09-2020 22:35,video,dogs,positive,70,Sep,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,24-06-2020 09:31,video,dogs,positive,30,Jun,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,07-02-2021 21:39,video,dogs,negative,5,Feb,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,21-01-2021 18:28,video,dogs,positive,45,Jan,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,27-02-2021 00:21,video,dogs,negative,10,Feb,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,22-08-2020 12:06,video,dogs,negative,12,Aug,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,03-08-2020 06:29,video,dogs,positive,70,Aug,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02-08-2020 06:20,video,dogs,negative,15,Aug,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,04-06-2021 04:57,video,dogs,positive,70,Jun,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,super love,21-10-2020 09:07,video,dogs,positive,75,Oct,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,26-12-2020 19:46,video,dogs,negative,10,Dec,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02-03-2021 22:47,video,dogs,negative,15,Mar,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,31-03-2021 09:48,video,dogs,neutral,20,Mar,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,14-06-2021 13:44,video,dogs,positive,30,Jun,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,27-12-2020 17:04,video,dogs,negative,15,Dec,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,11-02-2021 03:51,video,dogs,negative,15,Feb,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,07-12-2020 19:07,video,dogs,positive,30,Dec,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,28-12-2020 08:31,video,dogs,positive,30,Dec,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,26-10-2020 05:27,video,dogs,positive,30,Oct,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,26-09-2020 18:43,video,dogs,negative,12,Sep,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,25-11-2020 13:01,video,dogs,negative,15,Nov,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11-07-2020 05:51,video,dogs,positive,60,Jul,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,19-03-2021 16:23,video,dogs,positive,60,Mar,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,11-10-2020 18:31,video,dogs,positive,30,Oct,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,02-11-2020 20:15,video,dogs,positive,60,Nov,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,01-10-2020 03:35,video,dogs,positive,70,Oct,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,11-02-2021 20:10,video,dogs,negative,0,Feb,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,07-02-2021 15:59,video,dogs,positive,70,Feb,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,17-10-2020 11:46,video,dogs,negative,5,Oct,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,like,09-08-2020 19:41,video,dogs,positive,50,Aug,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,love,01-02-2021 02:40,video,dogs,positive,65,Feb,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,adore,30-01-2021 09:36,video,dogs,positive,72,Jan,,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,31-03-2021 15:24,video,technology,positive,70,Mar,,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,05-02-2021 17:00,video,technology,positive,75,Feb,,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,19-02-2021 16:29,video,technology,positive,60,Feb,,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,25-07-2020 00:00,video,technology,negative,12,Jul,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,adore,13-07-2020 02:38,photo,soccer,positive,72,Jul,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,13-01-2021 13:11,photo,soccer,neutral,20,Jan,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,worried,02-01-2021 16:46,photo,soccer,negative,12,Jan,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,26-11-2020 02:25,photo,soccer,positive,45,Nov,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,want,25-08-2020 19:18,photo,soccer,positive,70,Aug,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,hate,01-02-2021 00:15,photo,soccer,negative,5,Feb,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,love,04-06-2021 14:36,photo,soccer,positive,65,Jun,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,adore,19-08-2020 13:38,photo,soccer,positive,72,Aug,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,cherish,22-04-2021 02:08,photo,soccer,positive,70,Apr,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,super love,26-06-2020 10:33,photo,soccer,positive,75,Jun,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,like,15-08-2020 18:16,photo,soccer,positive,50,Aug,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,love,26-11-2020 13:42,photo,soccer,positive,65,Nov,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,14-04-2021 00:56,photo,public speaking,positive,70,Apr,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,21-07-2020 21:27,photo,public speaking,neutral,20,Jul,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,29-03-2021 06:57,photo,public speaking,negative,10,Mar,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,20-05-2021 16:11,photo,public speaking,positive,70,May,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,02-11-2020 06:09,photo,public speaking,positive,50,Nov,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,24-10-2020 15:37,photo,public speaking,neutral,20,Oct,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,07-09-2020 14:42,photo,public speaking,positive,60,Sep,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,04-03-2021 02:46,photo,public speaking,negative,15,Mar,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,07-01-2021 14:08,photo,public speaking,positive,72,Jan,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,06-07-2020 11:18,photo,public speaking,neutral,35,Jul,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,27-03-2021 04:56,photo,public speaking,positive,50,Mar,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,21-11-2020 21:25,photo,public speaking,positive,45,Nov,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,22-08-2020 01:25,photo,public speaking,positive,70,Aug,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,14-06-2021 11:45,photo,public speaking,neutral,35,Jun,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,15-07-2020 19:28,photo,public speaking,negative,12,Jul,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,21-03-2021 14:39,photo,public speaking,positive,45,Mar,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,07-04-2021 03:15,photo,public speaking,positive,75,Apr,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,24-04-2021 06:56,photo,public speaking,positive,70,Apr,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,30-09-2020 14:05,photo,public speaking,positive,60,Sep,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,19-07-2020 19:28,photo,public speaking,positive,60,Jul,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,21-01-2021 07:08,photo,public speaking,negative,15,Jan,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,31-01-2021 13:48,photo,public speaking,negative,15,Jan,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,24-12-2020 03:24,photo,public speaking,negative,5,Dec,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,27-05-2021 01:44,photo,public speaking,negative,0,May,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,13-02-2021 04:14,photo,public speaking,negative,0,Feb,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,14-07-2020 04:36,photo,public speaking,positive,72,Jul,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,15-07-2020 16:03,photo,public speaking,negative,10,Jul,,,,,,,,
